"width","V1"
6,258
7,157
8,96
9,102
10,102
11,247
12,143
13,110
14,101
15,140
16,95
17,102
18,111
19,115
20,94
21,88
22,96
23,127
24,94
25,57
26,115
27,98
28,75
29,108
30,114
31,107
32,118
33,129
34,85
35,122
36,93
37,85
38,170
39,106
40,110
41,78
42,104
43,95
44,114
45,80
46,87
47,131
48,78
49,108
50,100
51,92
52,98
53,94
54,73
55,69
56,82
57,56
58,78
59,89
60,64
61,87
62,140
63,73
64,79
65,70
66,76
67,74
68,80
69,67
70,63
71,84
72,83
73,62
74,53
75,65
76,69
77,72
78,106
79,81
80,54
81,59
82,62
83,64
84,64
85,76
86,69
87,70
88,66
89,77
90,48
91,64
92,60
93,44
94,80
95,76
96,49
97,62
98,70
99,78
100,43
101,83
102,76
103,44
104,124
105,58
106,61
107,58
108,77
109,52
110,51
111,56
112,47
113,71
114,50
115,61
116,58
117,47
118,65
119,46
120,74
121,45
122,55
123,66
124,62
125,77
126,84
127,65
128,80
129,60
130,61
131,68
132,67
133,65
134,96
135,172
136,86
137,78
138,56
139,79
140,66
141,54
142,63
143,66
144,61
145,95
146,96
147,63
148,56
149,72
150,80
151,66
152,56
153,82
154,45
155,57
156,55
157,48
158,54
159,50
160,56
161,62
162,65
163,48
164,81
165,45
166,51
167,55
168,45
169,52
170,46
171,67
172,63
173,48
174,46
175,59
176,54
177,50
178,51
179,52
180,59
181,48
182,50
183,59
184,56
185,143
186,41
187,64
188,61
189,46
190,58
191,53
192,46
193,59
194,69
195,45
196,45
197,56
198,43
199,62
200,48
201,48
202,61
203,60
204,56
205,61
206,62
207,61
208,53
209,53
210,53
211,48
212,48
213,61
214,57
215,35
216,46
217,46
218,39
219,47
220,61
221,56
222,47
223,55
224,70
225,58
226,54
227,43
228,47
229,42
230,57
231,63
232,53
233,61
234,66
235,151
236,72
237,63
238,53
239,52
240,50
241,54
242,49
243,56
244,48
245,51
246,50
247,51
248,55
249,49
250,69
251,61
252,52
253,48
254,57
255,53
256,50
257,49
258,48
259,51
260,66
261,60
262,60
263,37
264,59
265,54
266,62
267,59
268,42
269,66
270,51
271,68
272,70
273,58
274,49
275,52
276,41
277,43
278,46
279,46
280,42
281,60
282,56
283,48
284,55
285,64
286,48
287,55
288,40
289,45
290,47
291,50
292,48
293,58
294,52
295,49
296,52
297,50
298,52
299,55
300,57
301,45
302,49
303,54
304,62
305,61
306,63
307,65
308,55
309,44
310,57
311,63
312,59
313,50
314,68
315,33
316,68
317,47
318,63
319,60
320,56
321,53
322,42
323,53
324,55
325,42
326,58
327,50
328,51
329,46
330,54
331,59
332,54
333,49
334,51
335,55
336,53
337,44
338,50
339,53
340,63
341,68
342,49
343,61
344,51
345,41
346,48
347,54
348,53
349,56
350,55
351,50
352,50
353,47
354,55
355,47
356,65
357,35
358,45
359,49
360,37
361,46
362,48
363,55
364,53
365,64
366,45
367,51
368,40
369,49
370,56
371,49
372,45
373,52
374,41
375,65
376,49
377,42
378,46
379,52
380,44
381,57
382,50
383,42
384,44
385,61
386,51
387,49
388,52
389,51
390,45
391,40
392,56
393,50
394,51
395,58
396,56
397,63
398,64
399,41
400,59
401,47
402,46
403,43
404,49
405,51
406,54
407,54
408,63
409,126
410,65
411,61
412,42
413,51
414,47
415,55
416,50
417,56
418,55
419,61
420,35
421,50
422,44
423,43
424,47
425,36
426,42
427,52
428,50
429,43
430,54
431,44
432,52
433,39
434,47
435,53
436,53
437,41
438,33
439,43
440,43
441,43
442,53
443,41
444,45
445,43
446,48
447,59
448,60
449,47
450,44
451,62
452,50
453,60
454,49
455,49
456,40
457,49
458,48
459,52
460,43
461,41
462,37
463,49
464,49
465,41
466,46
467,50
468,51
469,62
470,51
471,41
472,45
473,56
474,46
475,44
476,47
477,49
478,54
479,62
480,49
481,48
482,70
483,46
484,54
485,49
486,49
487,39
488,54
489,47
490,55
491,43
492,41
493,51
494,43
495,52
496,38
497,38
498,47
499,55
500,27
501,45
502,42
503,39
504,44
505,50
506,44
507,50
508,47
509,42
510,47
511,50
512,41
513,52
514,35
515,51
516,50
517,45
518,51
519,55
520,51
521,43
522,42
523,50
524,47
525,65
526,36
527,42
528,39
529,41
530,56
531,39
532,37
533,41
534,45
535,47
536,47
537,64
538,57
539,80
540,55
541,48
542,41
543,48
544,55
545,40
546,44
547,50
548,38
549,34
550,44
551,40
552,31
553,33
554,57
555,59
556,63
557,45
558,41
559,44
560,33
561,34
562,42
563,34
564,38
565,50
566,40
567,53
568,38
569,36
570,47
571,58
572,48
573,58
574,41
575,40
576,38
577,46
