"width","V1"
6,967
7,369
8,298
9,350
10,318
11,779
12,357
13,372
14,490
15,391
16,338
17,420
18,297
19,279
20,322
21,308
22,290
23,345
24,279
25,255
26,263
27,277
28,307
29,319
30,189
31,269
32,292
33,277
34,244
35,245
36,211
37,236
38,251
39,291
40,291
41,235
42,314
43,343
44,356
45,222
46,233
47,282
48,204
49,234
50,234
51,216
52,247
53,267
54,297
55,296
56,713
57,260
58,292
59,299
60,241
61,247
62,244
63,406
64,226
65,282
66,233
67,238
68,273
69,282
70,225
71,290
72,492
73,208
74,283
75,269
76,325
77,239
78,192
79,237
80,260
81,256
82,210
83,724
84,238
85,221
86,222
87,225
88,223
89,264
90,284
91,293
92,198
93,233
94,216
95,325
96,216
97,209
98,223
99,228
100,254
101,253
102,274
103,194
104,233
105,245
106,207
107,266
108,314
109,237
110,221
111,223
112,234
113,206
114,202
115,192
116,202
117,219
118,223
119,225
120,226
121,230
122,221
123,225
124,209
125,231
126,234
127,198
128,220
129,196
130,226
131,241
132,223
133,230
134,184
135,215
136,243
137,233
138,238
139,243
140,260
141,251
142,276
143,387
144,257
145,232
146,218
147,234
148,261
149,222
150,200
151,192
152,242
153,232
154,235
155,219
156,244
157,216
158,196
159,247
160,210
161,194
162,217
163,214
164,206
165,225
166,224
167,426
168,223
169,254
170,269
171,255
172,199
173,214
174,209
175,229
176,228
177,220
178,200
179,226
180,196
181,230
182,211
183,190
184,226
185,225
186,230
187,256
188,209
189,197
190,195
191,235
192,214
193,209
194,225
195,218
196,216
197,247
198,220
199,210
200,199
201,208
202,210
203,214
204,223
205,240
206,224
207,221
208,253
209,285
210,284
211,246
212,269
213,345
214,217
215,229
216,237
217,207
218,216
219,218
220,217
221,193
222,225
223,182
224,220
225,209
226,215
227,208
228,199
229,195
230,227
231,203
232,188
233,193
234,201
235,217
236,194
237,223
238,229
239,228
240,202
241,210
242,183
243,210
244,206
245,193
246,227
247,221
248,199
249,211
250,205
251,339
252,195
253,162
254,222
255,235
256,195
257,214
258,191
259,187
260,210
261,182
262,187
263,217
264,180
265,213
266,231
267,224
268,220
269,221
270,206
271,207
272,198
273,211
274,207
275,180
276,210
277,198
278,201
279,173
280,180
281,181
282,214
283,193
284,195
285,202
286,195
287,219
288,195
289,196
290,208
291,192
292,198
293,199
294,217
295,213
296,214
297,167
298,227
299,236
300,213
301,211
302,207
303,261
304,211
305,256
306,241
307,232
308,252
309,271
310,226
311,263
312,237
313,247
314,272
315,248
316,230
317,220
318,207
319,229
320,239
321,230
322,220
323,232
324,238
325,236
326,206
327,253
328,229
329,209
330,236
331,224
332,197
333,233
334,216
335,282
336,222
337,214
338,273
339,343
340,315
341,317
342,235
343,215
344,206
345,214
346,205
347,211
348,195
349,223
350,206
351,230
352,223
353,273
354,218
355,227
356,214
357,201
358,223
359,194
360,198
361,204
362,220
363,219
364,220
365,187
366,209
367,196
368,189
369,228
370,196
371,212
372,205
373,203
374,202
375,198
376,187
377,211
378,220
379,222
380,189
381,224
382,202
383,222
384,206
385,206
386,199
387,177
388,208
389,199
390,187
391,178
392,198
393,216
394,200
395,220
396,198
397,184
