"width","V1"
6,614
7,428
8,458
9,556
10,367
11,484
12,416
13,479
14,428
15,448
16,424
17,420
18,498
19,433
20,558
21,387
22,359
23,380
24,334
25,424
26,1862
27,382
28,280
29,381
30,258
31,281
32,306
33,402
34,324
35,422
36,287
37,271
38,295
39,306
40,262
41,259
42,325
43,505
44,357
45,256
46,344
47,378
48,244
49,241
50,391
51,300
52,218
53,326
54,234
55,225
56,281
57,262
58,279
59,224
60,202
61,225
62,262
63,268
64,238
65,252
66,203
67,252
68,245
69,202
70,200
71,227
72,217
73,315
74,217
75,232
76,230
77,238
78,226
79,202
80,254
81,224
82,237
83,282
84,187
85,210
86,192
87,221
88,340
89,299
90,197
91,228
92,229
93,248
94,218
95,245
96,257
97,217
98,241
99,209
100,190
101,210
102,220
103,229
104,253
105,227
106,221
107,309
108,212
109,219
110,230
111,217
112,218
113,270
114,209
115,214
116,272
117,244
118,251
119,211
120,189
121,206
122,216
123,201
124,194
125,203
126,209
127,238
128,207
129,231
130,211
131,199
132,206
133,220
134,225
135,202
136,205
137,200
138,174
139,200
140,204
141,233
142,215
143,238
144,199
145,194
146,189
147,178
148,236
149,204
150,212
151,207
152,191
153,183
154,192
155,219
156,178
157,197
158,191
159,217
160,200
161,215
162,199
163,233
164,241
165,212
166,242
167,217
168,230
169,224
170,342
171,264
172,217
173,227
174,220
175,194
176,192
177,191
178,198
179,189
180,209
181,220
182,232
183,196
184,209
185,197
186,197
187,215
188,217
189,223
190,204
191,224
192,186
193,211
194,236
195,226
196,210
197,214
198,213
199,198
200,214
201,239
202,180
203,187
204,190
205,216
206,196
207,209
208,173
209,228
210,217
211,221
212,198
213,185
214,217
215,241
216,211
217,237
218,209
219,242
220,212
221,234
222,243
223,205
224,233
225,206
226,181
227,223
228,235
229,220
230,209
231,197
232,213
233,206
234,198
235,182
236,188
237,218
238,214
239,186
240,186
241,207
242,210
243,211
244,192
245,214
246,197
247,204
248,173
249,213
250,204
251,188
252,195
253,186
254,185
255,186
256,208
257,201
258,203
259,186
260,204
261,200
262,191
263,225
264,186
265,183
266,182
267,188
268,203
269,195
270,170
271,203
272,211
273,190
274,210
275,198
276,177
277,209
278,187
279,178
280,194
281,205
282,213
283,178
284,195
285,203
286,209
287,211
288,181
289,196
290,178
291,193
292,216
293,212
294,190
295,177
296,199
297,178
298,201
299,178
300,177
301,185
302,206
303,218
304,236
305,249
306,229
307,223
308,209
309,228
310,248
311,230
312,229
313,207
314,227
315,217
316,215
317,221
318,201
319,233
320,230
321,243
322,233
323,232
324,219
325,211
326,241
327,246
328,222
329,245
330,250
331,210
332,233
333,246
334,219
335,237
336,265
337,325
338,265
339,214
340,253
341,351
342,213
343,217
344,202
345,197
346,235
347,212
348,191
349,198
350,182
351,192
352,194
353,178
354,177
355,176
356,209
357,209
358,197
359,197
360,173
361,198
362,200
363,231
364,180
365,212
366,189
367,175
368,189
369,186
370,173
371,191
372,189
373,196
374,195
375,199
376,201
377,189
378,175
379,196
380,197
381,185
382,210
383,200
384,185
385,184
386,166
387,198
388,195
389,207
390,168
391,196
392,182
393,186
394,174
395,206
396,167
397,184
398,176
399,184
400,181
401,163
402,195
403,180
404,169
405,170
406,170
407,173
408,169
409,164
410,171
411,187
412,165
413,186
414,190
415,207
416,174
417,205
418,176
419,172
420,192
421,183
422,162
423,200
424,174
425,179
426,169
427,191
428,152
429,180
430,185
431,182
432,178
433,166
434,172
435,187
436,202
437,161
438,173
439,173
440,204
441,173
442,169
443,173
444,176
445,166
446,206
447,177
448,185
449,148
450,185
451,180
452,187
453,186
454,187
455,189
456,177
457,187
458,194
459,195
460,180
461,197
462,172
463,192
464,180
465,169
466,149
467,189
468,187
469,166
470,174
471,160
472,162
473,168
474,203
475,180
476,182
477,185
478,182
479,181
480,186
481,182
482,158
483,167
484,165
485,176
486,181
487,201
488,161
489,209
490,196
491,186
492,181
493,201
494,178
495,168
496,179
497,203
498,164
499,207
500,170
501,205
502,186
503,173
504,172
505,166
506,170
507,190
508,195
509,189
510,219
511,197
512,197
513,174
514,170
515,209
516,185
517,186
518,169
519,177
520,164
521,204
522,196
523,221
524,194
525,188
526,154
527,162
528,186
529,182
530,180
531,169
532,174
533,184
534,171
535,172
536,157
537,173
538,201
539,181
540,200
541,169
542,204
543,194
544,180
545,170
546,194
547,166
548,223
549,180
550,185
551,205
552,215
553,200
554,215
555,213
556,254
557,218
558,220
559,268
560,334
561,252
562,161
563,189
564,186
565,165
566,172
567,175
568,177
569,167
570,172
571,191
572,186
573,153
574,173
575,182
576,204
577,219
578,186
579,198
580,165
581,156
582,184
583,202
584,181
585,169
586,182
587,155
588,194
589,195
590,200
591,183
592,179
593,192
594,173
595,179
596,166
597,170
598,196
599,171
600,198
601,152
602,186
603,176
604,160
605,160
606,200
607,171
608,184
609,184
610,187
611,187
612,163
613,199
614,186
615,178
616,202
617,193
618,191
619,191
620,199
621,195
622,180
623,191
624,179
625,159
626,179
627,195
628,186
629,167
630,182
631,196
632,204
633,199
634,167
635,172
636,172
637,173
638,164
639,213
640,163
641,183
642,190
643,178
644,163
645,154
646,181
647,188
648,180
649,184
650,205
651,166
652,185
653,181
654,189
655,182
656,174
657,203
658,204
659,177
660,199
661,183
662,186
663,183
664,195
665,185
666,166
667,177
668,197
669,177
670,181
671,189
672,177
673,162
674,176
675,189
676,182
677,187
678,198
679,201
680,168
681,220
682,211
683,192
684,185
685,212
686,184
687,182
688,181
689,170
690,178
691,165
692,155
693,159
694,160
695,182
696,159
697,182
698,179
699,159
700,186
701,174
702,185
703,164
704,179
705,176
706,175
707,196
708,176
709,179
710,155
711,185
712,183
713,178
714,162
715,163
716,191
717,162
718,170
719,175
720,185
721,182
722,180
723,183
724,183
725,163
726,159
727,154
728,200
729,181
730,169
731,163
732,163
733,174
734,184
735,182
736,188
737,165
738,170
739,181
740,191
741,173
742,160
743,176
744,170
745,193
746,203
747,172
748,179
749,178
750,177
751,188
752,199
753,174
754,189
755,205
756,218
757,172
758,183
759,163
760,186
761,182
762,175
763,166
764,151
765,224
766,181
767,192
768,153
769,198
770,187
771,151
772,154
773,192
774,203
775,186
776,189
777,163
778,166
779,206
780,196
781,193
782,181
783,154
784,206
785,153
786,169
787,179
788,176
789,181
790,156
791,182
792,204
793,184
794,181
795,169
796,173
797,204
798,191
799,223
800,200
801,195
802,214
803,197
804,192
805,221
806,268
807,206
808,183
809,161
810,177
811,185
812,146
813,189
814,195
815,176
816,186
817,171
818,188
819,181
820,162
821,204
822,192
823,199
824,192
825,185
826,205
827,209
828,187
829,207
830,218
831,174
832,222
833,218
834,226
835,219
836,196
837,241
838,216
839,272
840,259
841,334
842,438
843,613
844,1151
845,3341
846,553
847,294
848,261
849,207
850,203
851,197
852,205
853,210
854,196
855,210
856,174
857,197
858,182
859,174
860,193
861,209
862,186
863,161
864,176
865,226
866,168
867,168
868,177
869,175
870,186
871,202
872,161
873,163
874,155
875,165
876,197
877,173
878,177
879,161
880,208
881,171
882,177
883,171
884,181
885,165
886,159
887,188
888,166
889,157
890,202
891,173
892,180
893,173
894,166
895,157
896,154
897,175
898,172
899,163
900,172
901,180
902,189
903,163
904,192
905,166
906,178
907,154
908,148
909,157
910,157
911,170
912,177
913,183
914,149
915,168
916,148
917,167
918,151
919,153
920,152
921,140
922,165
923,162
924,160
925,159
926,168
927,171
928,171
929,132
930,150
931,173
932,151
933,149
934,165
935,143
936,160
937,165
938,162
939,157
940,159
941,169
942,151
943,173
944,168
945,158
946,172
947,148
948,154
949,181
950,150
951,187
952,183
953,143
954,168
955,186
956,162
957,177
958,167
959,170
960,149
961,146
962,142
963,161
964,145
965,147
966,153
967,171
968,149
969,169
970,201
971,176
972,175
973,160
974,168
975,159
976,172
977,161
978,170
979,152
980,179
981,158
982,153
983,171
984,139
985,173
986,145
987,184
988,181
989,164
990,174
991,153
992,153
993,151
994,181
995,166
996,185
997,169
998,176
999,187
1000,179
