"width","V1"
6,11
7,16
8,8
9,10
10,9
11,12
12,11
13,47
14,18
15,5
16,6
17,8
18,9
19,12
20,12
21,9
22,17
23,10
24,10
25,24
26,13
27,21
28,17
29,11
30,20
31,38
32,15
33,10
34,9
35,18
36,20
37,15
38,18
39,19
40,47
41,22
42,5
43,9
44,8
45,9
46,3
47,22
48,9
49,10
50,28
51,5
52,8
53,40
54,14
55,7
56,6
57,15
58,5
59,15
60,18
61,27
62,18
63,23
64,7
65,10
66,16
67,11
68,19
69,49
70,7
71,8
72,6
73,6
74,12
75,20
76,6
77,11
78,4
79,9
80,12
81,9
82,5
83,8
84,9
85,8
86,32
87,12
88,15
89,14
90,3
91,10
92,9
93,14
94,33
95,16
96,3
97,10
98,9
99,8
100,8
101,9
102,7
103,7
104,9
105,13
106,13
107,19
108,21
109,13
110,32
111,7
112,7
113,9
114,5
115,6
116,7
117,8
118,10
119,6
120,8
121,11
122,8
123,6
124,11
125,15
126,6
127,17
128,7
129,14
130,7
131,16
132,8
133,8
134,15
135,9
136,9
137,5
138,14
139,21
140,9
141,13
142,3
143,6
144,7
145,6
146,9
147,6
148,13
149,6
150,5
151,5
152,7
153,10
154,10
155,8
156,9
157,6
158,2
159,8
160,6
161,5
162,15
163,6
164,13
165,11
166,4
167,8
168,5
169,7
170,12
171,11
172,3
173,11
174,7
175,7
176,7
177,7
178,6
179,6
180,7
181,2
182,6
183,8
184,9
185,10
186,5
187,13
188,9
189,12
190,6
191,15
192,5
193,9
194,8
195,7
196,7
197,7
198,5
199,6
200,7
201,8
202,11
203,8
204,8
205,8
206,7
207,7
208,6
209,8
210,10
211,6
212,8
213,8
214,15
215,8
216,11
217,7
218,5
219,10
220,10
221,11
222,8
223,7
224,4
225,6
226,6
227,8
228,6
229,8
230,7
231,3
232,6
233,10
234,6
235,4
236,13
237,6
238,4
239,6
240,3
241,12
242,7
243,4
244,7
245,6
246,5
247,4
248,7
249,6
250,2
251,8
252,7
253,7
254,6
255,6
256,9
257,4
258,5
259,8
260,6
261,5
262,14
263,5
264,2
265,4
266,8
267,4
268,11
269,15
270,12
271,8
272,8
273,8
274,9
275,3
276,7
277,5
278,8
279,8
280,4
281,10
282,3
283,8
284,9
285,9
286,4
287,10
288,13
289,6
290,4
291,8
292,4
293,13
294,5
295,14
296,12
297,5
298,7
299,8
300,4
301,8
302,9
303,9
304,5
305,3
306,4
307,6
308,8
309,11
310,13
311,5
312,10
313,6
314,6
315,18
316,11
317,8
318,19
319,10
320,13
321,6
322,8
323,4
324,25
325,16
326,20
327,15
328,23
329,21
330,25
331,38
332,103
333,1788
334,53
335,12
336,9
337,19
338,11
339,18
340,30
341,9
342,12
343,4
344,11
345,6
346,6
347,7
348,13
349,6
350,9
351,7
352,6
353,10
354,5
355,6
356,8
357,3
358,3
359,6
360,8
361,6
362,8
363,14
364,9
365,9
366,6
367,5
368,6
369,5
370,7
371,6
372,4
373,7
374,14
375,7
376,9
377,5
378,4
379,6
380,6
381,8
382,6
383,5
384,2
385,7
386,8
387,9
388,3
389,8
390,4
391,6
392,8
393,6
394,5
395,12
396,10
397,11
398,10
399,14
400,4
401,4
402,4
403,7
404,2
405,4
406,5
407,10
408,9
409,7
410,8
411,6
412,14
413,5
414,5
415,5
416,6
417,9
418,6
419,8
420,8
421,7
422,5
423,3
424,7
425,6
427,4
428,5
429,8
430,9
431,5
432,8
433,6
434,12
435,10
436,8
437,2
438,7
439,7
440,5
441,6
442,9
443,4
444,12
445,9
446,17
447,2
448,5
449,6
450,5
451,11
452,13
453,7
454,7
455,5
456,8
457,3
458,7
459,2
460,7
461,9
462,5
463,10
464,4
465,7
466,5
467,4
468,8
469,10
470,7
471,5
472,6
473,4
474,10
475,8
476,2
477,6
478,4
479,6
480,5
481,6
482,9
483,5
484,4
485,4
486,2
487,7
488,1
489,7
490,4
491,4
492,10
493,13
494,4
495,7
496,7
497,7
498,7
499,3
500,9
501,5
502,3
503,9
504,10
505,5
506,5
507,5
508,9
509,9
510,3
511,4
512,6
513,6
514,4
515,7
516,9
517,9
518,8
519,5
520,7
521,5
522,7
523,7
524,3
525,10
526,4
527,6
528,7
529,7
530,6
531,14
532,3
533,8
534,8
535,4
536,3
537,12
538,7
539,7
540,6
541,9
542,6
543,3
544,5
545,7
546,7
547,4
548,6
549,2
550,6
551,10
552,9
553,4
554,9
555,3
556,4
557,7
558,4
559,7
560,6
561,9
562,4
563,6
564,6
565,7
566,7
567,6
568,2
569,7
570,8
571,3
572,10
573,5
574,5
575,2
576,3
577,3
578,4
579,4
580,5
581,7
582,7
583,7
584,9
585,6
586,4
587,6
588,6
