"width","V1"
4,316
5,341
6,266
7,408
8,307
9,315
10,415
11,430
12,333
13,371
14,265
15,311
16,351
17,404
18,412
19,285
20,273
21,297
22,252
23,268
24,261
25,294
26,364
27,260
28,278
29,345
30,294
31,257
32,326
33,310
34,261
35,249
36,343
37,261
38,344
39,325
40,281
41,261
42,252
43,262
44,217
45,251
46,285
47,338
48,262
49,321
50,243
51,304
52,319
53,291
54,336
55,254
56,267
57,321
58,247
59,288
60,296
61,276
62,248
63,250
64,277
65,293
66,298
67,308
68,267
69,265
70,261
71,297
72,308
73,256
74,274
75,248
76,296
77,282
78,287
79,281
80,293
81,368
82,289
83,198
84,247
85,210
86,239
87,283
88,311
89,316
90,290
91,319
92,273
93,239
94,282
95,279
96,509
97,472
98,319
99,536
100,346
101,291
102,254
103,264
104,314
105,274
106,337
107,283
108,296
109,352
110,276
111,298
112,252
113,287
114,250
115,228
116,258
117,228
118,239
119,248
120,232
121,275
122,264
123,225
124,252
125,308
126,254
127,244
128,396
129,256
130,215
131,241
132,350
133,253
134,244
135,266
136,286
137,251
138,234
139,268
140,235
141,257
142,233
143,228
144,239
145,259
146,259
147,257
148,259
149,223
150,239
151,270
152,236
153,264
154,218
155,251
156,207
157,253
158,233
159,243
160,257
161,248
162,232
163,247
164,262
165,331
166,255
167,257
168,226
169,250
170,363
171,289
172,251
173,272
174,264
175,280
176,370
177,302
178,467
179,424
180,242
181,341
182,236
183,273
184,230
185,227
186,254
187,213
188,213
189,228
190,227
191,268
192,256
193,246
194,233
195,242
196,221
197,242
198,261
199,229
200,232
201,249
202,250
203,220
204,234
205,234
206,250
207,242
208,259
209,260
210,252
211,233
212,238
213,232
214,240
215,239
216,249
217,234
218,264
219,244
220,220
221,227
222,240
223,252
224,268
225,344
226,268
227,238
228,281
229,218
230,244
231,442
232,254
233,242
234,287
235,258
236,379
237,390
238,234
239,225
240,251
241,238
242,219
243,368
244,255
245,234
246,256
247,239
248,226
249,235
250,220
251,219
252,231
253,224
254,219
255,248
256,226
257,229
258,218
259,231
260,217
261,246
262,198
263,225
264,215
265,222
266,232
267,226
268,238
269,249
270,233
271,221
272,234
273,232
274,254
275,246
276,236
277,211
278,248
279,213
280,245
281,208
282,235
283,219
284,229
285,344
286,226
287,232
288,239
289,228
290,240
291,246
292,254
293,221
294,256
295,237
296,260
297,231
298,232
299,286
300,203
301,227
302,214
303,230
304,220
305,220
306,204
307,249
308,219
309,194
310,204
311,224
312,240
313,218
314,200
315,201
316,215
317,225
318,222
319,219
320,325
321,234
322,223
323,231
324,201
325,226
326,222
327,236
328,212
329,264
330,233
331,249
332,217
333,270
334,255
335,243
336,225
337,238
338,226
339,256
340,257
341,243
342,283
343,250
344,229
345,252
346,201
347,229
348,221
349,258
350,247
351,228
352,258
353,253
354,263
355,247
356,241
357,242
358,251
359,250
360,233
361,252
362,211
363,243
364,227
365,245
366,253
367,276
368,264
369,220
370,225
371,219
372,262
373,277
374,282
375,271
376,260
377,285
378,309
379,291
380,321
381,336
382,368
383,341
384,451
385,596
386,1092
387,2853
388,4629
389,1491
390,793
391,478
392,418
393,309
394,260
395,279
396,285
397,231
398,223
399,232
400,252
401,252
402,218
403,243
404,240
405,229
406,212
407,249
408,251
409,263
410,252
411,232
412,259
413,231
414,246
415,250
416,247
417,299
418,258
419,447
420,343
421,681
422,1853
423,616
424,335
425,247
426,268
427,235
428,235
429,233
430,245
431,233
432,268
433,212
434,210
435,226
436,212
437,196
438,200
439,197
440,205
441,227
442,219
443,221
444,216
445,193
446,196
447,200
448,219
449,221
450,198
451,197
452,215
453,235
454,305
455,249
456,198
457,278
458,216
459,224
460,230
461,217
462,212
463,202
464,235
465,221
466,216
467,200
468,294
469,231
470,237
471,201
472,204
473,233
474,202
475,225
476,224
477,188
478,205
479,203
480,240
481,227
482,191
483,206
484,195
485,217
486,207
487,199
488,201
489,229
490,231
491,214
492,201
493,200
494,206
495,209
496,215
497,212
498,221
499,222
500,249
501,241
502,221
503,222
504,244
505,212
506,220
507,184
508,214
509,220
510,213
511,221
512,232
513,190
514,201
515,229
516,206
517,216
518,230
519,226
520,188
521,209
522,240
523,205
524,220
525,215
526,213
527,175
528,225
529,222
530,222
531,171
532,209
533,205
534,202
535,232
536,213
537,243
538,334
539,279
540,258
541,228
542,208
543,233
544,222
545,224
546,258
547,240
548,226
549,220
550,200
551,189
552,196
553,195
554,219
555,212
556,218
557,209
558,238
559,249
560,232
561,204
562,236
563,220
564,232
565,222
566,224
567,242
568,226
569,212
570,232
571,217
572,234
573,191
574,242
575,269
576,227
577,232
578,208
579,215
580,303
581,235
582,187
583,241
584,257
585,263
586,217
587,222
588,294
589,256
590,212
591,210
592,198
593,225
594,190
595,206
596,199
597,193
598,210
599,195
