"width","V1"
6,558
7,306
8,231
9,300
10,213
11,188
12,256
13,240
14,200
15,193
16,180
17,214
18,218
19,228
20,314
21,185
22,221
23,204
24,188
25,365
26,221
27,292
28,290
29,268
30,224
31,227
32,366
33,370
34,205
35,220
36,206
37,230
38,260
39,191
40,221
41,370
42,222
43,190
44,163
45,239
46,174
47,224
48,209
49,206
50,169
51,194
52,197
53,223
54,163
55,160
56,170
57,183
58,209
59,244
60,374
61,207
62,158
63,143
64,143
65,191
66,171
67,185
68,184
69,376
70,180
71,166
72,132
73,151
74,174
75,216
76,150
77,151
78,156
79,193
80,187
81,194
82,173
83,207
84,134
85,162
86,144
87,136
88,121
89,150
90,139
91,173
92,164
93,149
94,164
95,486
96,165
97,164
98,151
99,209
100,189
101,157
102,167
103,271
104,264
105,196
106,160
107,188
108,176
109,154
110,168
111,133
112,153
113,165
114,149
115,132
116,149
117,151
118,177
119,136
120,133
121,146
122,137
123,150
124,142
125,145
126,169
127,163
128,147
129,132
130,157
131,160
132,170
133,134
134,125
135,146
136,143
137,147
138,144
139,120
140,140
141,151
142,135
143,142
144,136
145,156
146,138
147,140
148,132
149,135
150,138
151,140
152,159
153,141
154,164
155,139
156,132
157,135
158,160
159,150
160,143
161,179
162,134
163,132
164,137
165,124
166,143
167,166
168,176
169,135
170,156
171,122
172,130
173,143
174,176
175,367
176,153
177,170
178,143
179,137
180,152
181,129
182,170
183,131
184,159
185,135
186,148
187,136
188,147
189,170
190,141
191,140
192,142
193,151
194,145
195,117
196,127
197,148
198,144
199,146
200,151
201,122
202,220
203,185
204,145
205,128
206,140
207,148
208,145
209,152
210,184
211,138
212,138
213,133
214,137
215,149
216,129
217,141
218,125
219,143
220,146
221,152
222,130
223,152
224,150
225,120
226,153
227,149
228,124
229,136
230,164
231,125
232,141
233,129
234,143
235,152
236,115
237,140
238,154
239,143
240,124
241,142
242,151
243,130
244,144
245,130
246,137
247,143
248,143
249,140
250,155
251,160
252,162
253,133
254,146
255,136
256,150
257,151
258,141
259,127
260,145
261,126
262,132
263,142
264,131
265,123
266,131
267,106
268,136
269,128
270,148
271,143
272,164
273,175
274,135
275,146
276,167
277,142
