"width","V1"
6,192
7,130
8,183
9,340
10,145
11,194
12,165
13,142
14,161
15,159
16,122
17,149
18,163
19,152
20,137
21,135
22,97
23,122
24,103
25,94
26,103
27,91
28,111
29,150
30,121
31,115
32,103
33,125
34,97
35,95
36,69
37,84
38,100
39,115
40,93
41,122
42,105
43,142
44,59
45,77
46,53
47,106
48,66
49,55
50,80
51,104
52,67
53,78
54,54
55,67
56,49
57,54
58,83
59,62
60,64
61,73
62,68
63,67
64,45
65,65
66,57
67,75
68,63
69,66
70,64
71,65
72,52
73,60
74,62
75,52
76,53
77,40
78,62
79,43
80,48
81,54
82,38
83,55
84,49
85,77
86,53
87,51
88,56
89,56
90,72
91,73
92,49
93,50
94,59
95,69
96,68
97,51
98,45
99,68
100,59
101,68
102,66
103,66
104,49
105,67
106,49
107,68
108,60
109,54
110,61
111,42
112,39
113,57
114,57
115,62
116,57
117,58
118,55
119,60
120,50
121,48
122,49
123,62
124,59
125,41
126,40
127,49
128,59
129,53
130,57
131,45
132,56
133,51
134,55
135,72
136,67
137,58
138,55
139,45
140,48
141,65
142,52
143,41
144,55
145,48
146,57
147,59
148,69
149,58
150,54
151,59
152,53
153,59
154,59
155,65
156,284
157,62
158,37
159,62
160,60
161,50
162,59
163,54
164,49
165,48
166,59
167,56
168,67
169,45
170,56
171,62
172,78
173,55
174,45
175,67
176,78
177,155
178,158
179,80
180,74
181,53
182,52
183,71
184,45
185,54
186,52
187,67
188,64
189,47
190,45
191,50
192,58
193,56
194,60
195,58
196,60
197,56
198,73
199,97
200,63
201,87
202,150
203,469
204,128
205,70
206,71
207,66
208,48
209,63
210,73
211,58
212,55
213,49
214,53
215,58
216,56
217,165
218,303
219,117
220,44
221,35
222,55
223,53
224,45
225,51
226,56
227,52
228,59
229,45
230,48
231,51
232,48
233,60
234,60
235,40
236,42
237,61
238,48
239,50
240,52
241,51
242,48
243,51
244,62
245,61
246,51
247,61
248,57
249,53
250,41
251,35
252,42
253,46
254,52
255,43
256,54
257,59
258,55
259,67
260,47
261,41
262,53
263,58
264,39
265,62
266,42
267,39
268,223
269,51
270,37
271,111
272,58
273,51
274,41
275,40
276,51
277,52
278,52
279,48
280,48
281,43
282,54
283,44
284,55
285,48
286,46
287,57
288,56
289,46
290,55
291,55
292,54
293,43
294,58
295,45
296,49
297,52
298,50
299,44
300,40
301,57
302,52
303,45
304,40
305,57
306,34
307,44
308,52
309,49
310,45
311,42
312,40
313,44
314,39
315,42
316,51
317,51
318,51
319,50
320,49
321,48
322,61
323,52
324,52
325,38
326,55
327,52
328,52
329,51
330,58
331,41
332,40
333,55
334,41
335,47
336,55
337,56
338,57
339,47
340,59
341,58
342,46
343,50
344,46
345,49
346,47
347,58
348,54
349,50
350,69
351,52
352,51
353,46
354,42
355,40
356,54
357,47
358,59
359,52
360,61
361,44
362,35
363,57
364,159
365,43
366,41
367,50
368,37
369,49
370,44
371,48
372,47
373,54
374,50
375,50
376,50
377,49
378,53
379,44
380,46
381,71
382,53
383,62
384,56
385,50
386,57
387,80
388,53
389,44
390,42
391,38
392,40
393,46
394,47
395,41
396,52
397,55
398,41
399,46
400,54
401,49
402,54
403,34
404,46
405,41
406,54
407,44
408,56
409,54
410,54
411,44
412,55
413,63
414,47
415,39
416,44
417,45
418,41
419,44
420,54
421,57
422,59
423,42
424,41
425,46
