"width","V1"
6,186
7,1304
8,174
9,168
10,141
11,1457
12,136
13,100
14,125
15,290
16,110
17,130
18,111
19,95
20,117
21,107
22,102
23,169
24,87
25,90
26,117
27,100
28,101
29,114
30,94
31,109
32,157
33,170
34,112
35,104
36,108
37,100
38,83
39,104
40,206
41,172
42,99
43,118
44,84
45,158
46,122
47,88
48,114
49,96
50,109
51,178
52,135
53,96
54,95
55,65
56,130
57,108
58,98
59,153
60,96
61,104
62,85
63,132
64,147
65,175
66,1155
67,154
68,95
69,119
70,85
71,81
72,99
73,87
74,105
75,107
76,161
77,293
78,101
79,81
80,91
81,83
82,109
83,96
84,191
85,85
86,115
87,78
88,104
89,66
90,90
91,184
92,399
93,107
94,111
95,165
96,77
97,96
98,79
99,135
100,187
101,77
102,73
103,90
104,85
105,73
106,62
107,80
108,117
109,276
110,61
111,74
112,108
113,70
114,72
115,72
116,79
117,87
118,64
119,76
120,84
121,83
122,114
123,122
124,264
125,73
126,93
127,79
128,87
129,76
130,61
131,53
132,95
133,65
134,72
135,76
136,104
137,66
138,91
139,105
140,129
141,78
142,128
143,86
144,90
145,84
146,76
147,299
148,102
149,185
150,201
151,109
152,116
153,103
154,110
155,264
156,191
157,428
158,294
159,102
160,97
161,78
162,101
163,88
164,92
165,79
166,96
167,71
168,84
169,82
170,88
171,93
172,75
173,82
174,77
175,65
176,98
177,93
178,85
179,152
180,320
181,362
182,226
183,132
184,157
185,177
186,100
187,82
188,84
189,93
190,119
191,89
192,91
193,75
194,87
195,85
196,147
197,351
198,1272
199,229
200,674
201,130
202,213
203,252
204,110
205,105
206,144
207,135
208,101
209,105
210,100
211,96
212,96
213,88
214,91
215,94
216,98
217,99
218,113
219,123
220,134
221,76
222,88
223,62
224,109
225,82
226,91
227,105
228,87
229,97
230,307
231,78
232,72
233,134
234,90
235,90
236,81
237,94
238,82
239,99
240,104
241,94
242,87
243,101
244,130
245,146
246,96
247,79
248,79
249,81
250,73
251,86
252,64
253,82
254,72
255,73
256,85
257,95
258,88
259,115
260,78
261,72
262,80
263,95
264,83
265,88
266,91
267,79
268,68
269,92
270,67
271,65
272,266
273,62
274,83
275,84
276,75
277,69
278,69
279,81
280,75
281,68
282,63
283,69
284,96
285,81
286,76
287,66
288,69
289,91
290,68
291,75
292,98
293,119
294,102
295,120
296,88
297,95
298,134
299,187
300,151
301,99
302,91
303,75
304,75
305,140
306,82
307,91
308,71
309,70
310,76
311,69
312,59
313,80
314,73
315,62
316,57
317,76
318,81
319,70
320,72
321,75
322,63
323,85
324,80
325,73
326,57
327,87
328,78
329,90
330,63
331,70
332,75
333,63
334,67
335,67
336,73
337,76
338,63
339,212
340,99
341,75
342,70
343,77
344,78
345,62
346,67
347,93
348,77
349,75
350,67
351,75
352,80
353,72
354,68
355,69
356,83
357,104
358,95
359,60
360,64
361,76
362,76
363,90
364,83
365,74
366,63
367,70
368,69
369,64
370,65
371,69
372,79
373,75
374,78
375,65
376,69
377,72
378,70
379,82
380,80
381,93
382,63
383,74
384,68
385,89
386,90
387,69
388,77
389,74
390,73
391,82
392,81
393,71
394,77
395,96
396,104
397,91
398,85
399,82
400,88
401,84
402,79
403,58
404,77
405,56
406,92
407,81
408,77
409,77
410,73
411,55
412,82
413,92
414,80
415,156
416,164
417,91
418,73
419,81
420,88
421,94
422,75
423,68
424,57
425,89
426,80
427,88
428,77
429,76
430,99
431,85
432,78
433,69
434,72
435,59
436,69
437,78
438,77
439,57
440,84
441,63
442,90
443,80
444,70
445,74
446,71
447,87
448,68
449,86
450,69
451,87
452,75
453,76
454,100
455,94
456,111
457,85
458,90
459,76
460,93
461,70
462,76
463,93
464,78
465,90
466,91
467,86
468,79
469,89
470,95
471,89
472,95
473,79
474,90
475,84
476,122
477,218
478,84
479,82
480,81
481,81
482,117
483,158
484,95
485,95
486,96
487,129
488,109
489,116
490,120
491,127
492,167
493,168
494,154
495,161
496,163
497,214
498,284
499,281
500,405
501,573
502,335
503,354
504,557
505,980
506,2315
507,15341
508,3472
509,531
510,265
511,219
512,173
513,253
514,122
515,112
516,95
517,118
518,142
519,105
520,117
521,92
522,75
523,91
524,80
525,81
526,89
527,89
528,76
529,78
530,83
531,101
532,105
533,81
534,101
535,79
536,77
537,74
538,89
539,77
540,88
541,78
542,67
543,75
544,67
545,68
546,85
547,68
548,95
549,71
550,89
551,75
552,87
553,89
554,78
555,92
556,170
557,81
558,79
559,262
560,87
561,79
562,67
563,84
564,84
565,106
566,90
567,95
568,92
569,87
570,100
571,96
572,89
573,129
574,127
575,98
576,94
577,152
578,241
579,85
580,78
581,78
582,84
583,81
584,73
585,93
586,82
587,72
588,75
589,63
590,97
591,80
592,87
593,95
594,99
595,60
596,67
597,85
598,91
599,76
600,75
601,79
602,74
603,81
604,81
605,84
606,82
607,73
608,98
609,106
610,77
611,84
612,93
613,63
614,71
615,81
616,93
617,98
618,78
619,73
620,80
621,94
622,110
623,82
624,74
625,86
626,95
627,84
