"width","V1"
7,2
11,1
14,1
16,1
17,3
26,1
28,2
29,1
39,1
50,1
53,2
70,2
72,1
74,1
79,1
80,1
102,1
105,1
108,1
112,1
116,2
122,1
125,2
131,1
134,1
137,1
140,1
145,1
146,1
147,1
149,1
152,1
154,1
156,1
159,1
161,1
166,3
167,1
173,2
178,1
182,1
184,1
189,1
198,1
205,1
206,1
220,1
224,1
225,1
226,1
229,1
230,1
232,2
234,1
239,1
248,1
256,1
262,1
265,1
272,1
273,1
281,1
282,1
284,1
290,1
293,2
299,1
304,1
308,1
311,1
312,1
316,1
320,1
330,1
332,1
335,1
341,1
349,1
350,1
357,1
361,2
362,1
367,1
370,1
375,1
376,1
377,1
385,1
389,1
394,1
399,1
400,2
401,1
403,1
407,1
408,1
409,1
423,1
430,1
434,1
436,1
441,1
442,1
453,3
455,1
456,1
461,1
467,1
470,1
473,1
484,1
488,1
507,1
512,1
518,1
520,1
531,1
538,1
542,1
547,1
555,1
557,1
558,1
561,1
574,1
578,1
588,1
590,1
609,1
614,1
615,1
620,1
626,1
628,1
632,1
633,1
635,1
637,1
649,1
653,1
659,1
661,1
665,1
666,1
668,1
680,1
682,1
692,1
701,1
710,1
712,1
714,1
719,1
720,1
723,2
726,1
731,1
732,1
734,1
737,1
740,1
742,1
743,1
755,1
764,1
779,1
780,1
781,1
783,1
785,1
786,1
787,1
788,1
800,1
803,1
809,1
822,1
825,1
836,2
848,1
861,1
866,1
869,1
870,1
875,2
878,1
883,1
887,1
891,1
901,1
923,1
925,1
927,1
928,1
929,1
937,1
944,1
955,1
964,1
965,1
966,1
975,1
978,1
980,1
987,1
990,1
995,1
997,1
999,1
1000,1
1007,1
1009,1
1010,1
1013,1
1020,1
1024,1
1036,1
1037,1
1039,1
1042,1
1045,1
1050,1
1056,1
1065,1
1076,1
1088,1
1096,1
1098,1
1109,1
1111,1
1117,1
1124,1
1126,1
1131,1
1132,2
1133,1
1137,1
1140,1
1150,1
1153,1
1159,2
1164,2
1172,1
1176,1
1186,1
1187,1
1188,1
1191,1
1194,1
1200,1
1201,1
1216,1
1217,1
1226,1
1230,1
1232,1
1237,1
1240,1
1248,1
1257,1
1260,3
1286,1
1294,1
1297,1
1307,1
1309,1
1314,1
1330,1
1338,1
1339,1
1357,1
1359,1
1362,1
1367,1
1372,1
1373,1
1377,1
1388,1
1391,1
1399,1
1403,1
1406,1
1408,1
1409,1
1412,1
1414,1
1420,1
1426,1
1436,1
1437,1
1449,1
1458,1
1459,1
1465,2
1486,1
1487,1
1488,1
1493,1
1494,2
1518,1
1522,1
1525,1
1531,1
1532,1
1549,1
1558,1
1568,1
1571,1
1576,1
1578,1
1579,1
1581,1
1585,2
1600,1
1602,1
1604,1
1607,1
1616,1
1624,1
1636,2
1637,1
1645,1
1651,2
1660,1
1664,1
1668,1
1673,1
1681,1
1685,1
1687,2
1692,1
1699,1
1704,1
1708,1
1712,1
1716,1
1720,1
1726,1
1730,1
1731,1
1749,1
1751,1
1760,1
1766,1
1776,1
1781,1
1782,1
1786,1
1789,1
1807,1
1813,1
1821,1
1834,1
1837,1
1851,1
1854,1
1855,1
1878,1
1880,1
1883,1
1886,1
1891,1
1896,1
1904,1
1928,1
1938,1
1941,1
1942,1
1948,1
1955,1
1961,1
1977,1
2002,1
2015,1
2021,1
2025,2
2034,1
2035,2
2038,1
2045,1
2046,1
2071,1
2079,1
2088,1
2089,1
2098,1
2113,1
2115,1
2116,1
2119,1
2125,1
2133,1
2137,1
2145,1
2152,1
2153,1
2158,1
2160,1
2168,1
2169,1
2173,1
2184,1
2192,1
2193,1
2195,1
2197,1
2223,1
2229,1
2260,1
2266,1
2271,1
2280,1
2294,1
2312,1
2314,1
2315,1
2319,1
2336,2
2342,1
2344,1
2368,1
2371,1
2375,1
2390,1
2393,1
2399,1
2408,1
2409,1
2413,1
2418,1
2422,1
2425,1
2432,1
2437,1
2445,1
2449,1
2453,1
2455,1
2458,1
2465,1
2472,1
2476,1
2483,1
2492,1
2510,1
2512,1
2516,1
2519,1
2523,1
2529,2
2530,1
2542,1
2555,1
2556,2
2557,1
2564,1
2567,2
2577,1
2589,1
2593,1
2597,1
2603,1
2605,1
2611,1
2621,1
2623,1
2626,1
2629,1
2632,1
2634,2
2637,1
2642,1
2643,1
2645,1
2649,1
2653,1
2664,1
2667,1
2673,2
2681,1
2700,1
2713,1
2733,1
2736,1
2737,1
2738,1
2739,1
2748,1
2749,2
2754,1
2757,1
2766,1
2768,1
2771,1
2772,1
2783,1
2785,1
2789,1
2808,2
2811,1
2813,1
2817,1
2873,1
2875,1
2880,1
2885,1
2888,2
2896,1
2899,1
2903,1
2915,1
2916,2
2919,1
2936,1
2967,1
2975,1
2978,1
2982,1
2989,1
2990,1
2992,1
3000,1
3001,1
3003,1
3016,1
3020,2
3025,1
3028,1
3032,2
3038,1
3040,1
3044,1
3059,2
3060,1
3088,1
3097,1
3104,2
3116,1
3129,1
3141,1
3173,1
3176,1
3178,1
3198,1
3202,1
3220,1
3222,1
3233,1
3246,1
3256,1
3262,1
3269,1
3303,1
3311,1
3322,1
