"width","V1"
6,1
7,1
8,2
10,2
11,1
12,3
13,1
14,4
15,2
16,3
17,3
18,1
19,2
20,2
21,4
23,2
24,1
25,1
26,3
27,1
28,3
29,1
30,3
31,3
32,5
33,2
34,1
35,5
36,1
37,2
38,1
39,1
40,3
41,6
42,2
43,2
45,1
46,1
47,1
48,3
49,2
50,1
51,3
53,3
55,1
56,2
57,4
58,1
59,4
60,4
61,1
62,2
65,6
66,2
67,2
68,1
70,2
71,7
73,2
74,1
75,2
77,3
78,1
79,1
80,5
82,2
83,3
84,2
85,1
86,4
87,2
88,3
89,4
90,2
91,1
92,2
93,4
96,1
98,2
99,3
100,1
101,2
102,2
103,4
105,1
106,1
107,1
108,2
109,1
110,4
111,1
112,1
113,1
115,2
116,3
117,1
118,3
119,2
122,2
123,1
124,1
125,2
126,3
127,1
129,1
130,4
131,1
132,2
133,1
134,3
135,3
137,3
139,1
140,6
141,2
142,1
143,1
145,1
146,1
148,1
149,1
151,2
152,2
153,1
154,1
157,3
158,1
159,4
160,2
161,1
165,1
166,3
167,4
168,1
169,1
170,4
171,3
173,4
175,2
176,2
178,1
179,3
181,1
182,1
185,4
186,1
187,2
188,2
189,2
191,12
192,2
193,2
194,1
195,2
196,3
197,3
200,3
201,2
203,1
204,2
205,1
206,2
207,21
208,2
209,1
210,1
212,5
213,1
215,1
217,2
219,3
220,1
221,1
223,4
224,2
225,1
226,2
227,1
228,1
229,2
230,1
232,2
233,1
234,3
235,2
236,4
237,1
239,5
241,1
242,1
243,1
244,1
245,4
246,1
247,1
248,4
249,1
251,1
252,1
254,4
255,1
257,1
259,1
260,1
261,1
262,1
263,5
264,1
265,1
266,2
267,1
270,1
272,2
273,1
274,2
276,3
277,1
279,1
280,2
281,3
282,2
284,3
285,2
287,2
288,1
289,4
290,1
291,2
292,5
293,5
294,5
296,2
298,2
299,2
300,1
302,1
303,1
305,1
306,1
307,2
308,1
309,1
311,3
312,1
313,1
314,3
315,2
317,3
318,3
320,4
321,1
323,1
324,1
325,1
326,1
327,1
328,2
329,3
331,1
332,2
333,1
335,2
337,2
341,1
342,3
343,1
344,3
345,1
346,1
349,4
350,1
351,3
352,1
353,4
354,2
355,2
356,1
357,1
359,1
361,3
362,2
363,2
364,1
365,4
366,4
367,1
368,3
369,2
370,2
371,1
374,1
376,1
377,1
378,2
380,2
381,1
382,1
383,3
386,1
387,1
388,1
389,1
390,1
391,4
392,4
393,2
394,1
395,2
398,3
399,1
400,1
402,1
403,2
406,1
407,1
408,1
410,1
411,2
412,1
413,3
414,3
415,4
416,5
419,2
420,1
421,1
422,1
423,3
424,1
425,2
426,1
428,1
431,1
434,2
435,1
436,1
437,2
440,2
441,5
442,1
443,1
444,1
445,1
449,3
451,4
452,3
453,1
455,2
456,1
457,2
458,1
459,2
460,2
461,4
463,3
467,1
468,2
469,1
470,1
471,3
472,2
475,1
476,1
477,1
479,3
480,1
482,2
483,2
485,3
487,1
488,5
489,1
490,1
491,4
492,2
493,3
496,1
497,2
499,1
500,1
504,2
505,1
506,2
507,1
508,1
509,1
510,2
511,1
513,1
514,1
515,1
516,2
517,2
518,4
519,1
520,2
521,2
522,2
523,1
524,5
526,3
527,2
529,2
530,1
533,3
534,1
535,2
536,2
537,3
538,2
539,3
541,1
542,1
544,3
545,2
546,2
547,1
549,2
550,1
552,1
553,3
554,1
555,3
556,1
558,2
559,4
561,1
562,2
563,1
564,2
565,1
567,1
568,1
572,1
574,1
575,2
577,1
578,4
579,2
582,1
583,1
584,1
585,2
586,1
589,2
590,2
592,2
593,2
594,1
596,4
598,2
599,2
600,1
602,1
604,4
606,1
607,1
608,1
609,2
610,1
611,2
612,2
613,3
614,1
615,1
616,3
618,1
622,2
625,2
626,3
629,1
631,1
634,1
635,1
638,1
639,1
641,1
642,1
643,2
644,2
645,1
646,1
647,1
650,3
652,1
654,1
659,1
660,1
661,2
663,2
664,1
665,2
666,2
667,1
668,1
669,1
671,1
672,1
674,1
675,1
677,2
680,1
681,1
682,1
683,2
684,2
685,2
686,2
687,1
689,1
691,2
693,2
695,1
696,2
697,1
698,2
700,1
701,4
702,1
707,1
708,2
710,1
711,1
713,1
715,1
716,1
718,1
719,1
720,1
721,1
722,2
723,1
724,1
725,1
727,1
728,1
729,2
730,2
732,1
733,2
734,1
736,2
737,1
739,4
740,3
741,1
743,2
744,2
745,1
747,1
750,1
753,1
755,1
756,3
758,2
760,1
761,2
762,2
763,2
764,1
765,2
766,2
767,3
768,1
770,2
773,1
775,2
776,3
777,2
779,3
780,1
781,1
784,1
785,1
787,1
788,3
789,2
791,1
792,2
795,1
796,5
797,1
798,2
799,2
800,2
801,1
802,1
805,2
807,2
812,2
813,1
814,1
815,1
816,1
817,2
818,2
819,1
820,1
822,2
823,2
824,1
825,2
826,1
828,1
830,1
831,2
835,1
836,3
837,2
838,2
839,1
840,1
842,3
843,3
844,1
846,1
847,5
848,1
850,2
851,2
853,2
854,4
855,1
857,3
858,2
859,1
861,1
862,1
864,1
865,2
868,3
869,1
870,1
872,1
873,2
874,1
875,3
876,1
878,1
879,1
881,2
882,1
884,2
886,2
888,1
891,1
893,1
