"width","V1"
6,1
7,1
8,2
10,1
11,4
14,3
15,1
16,1
17,1
18,2
20,2
22,2
25,2
27,1
29,1
30,1
32,1
40,2
44,2
47,3
49,1
50,1
52,1
53,1
61,1
63,1
66,1
70,1
72,1
73,1
74,1
79,1
82,1
83,1
86,1
87,1
89,1
92,1
95,1
98,2
101,2
103,1
104,1
106,1
109,1
110,2
112,1
113,1
119,1
121,1
122,2
129,1
134,1
135,1
136,1
138,1
141,1
142,1
145,2
146,1
148,1
155,1
157,1
165,1
167,1
171,1
173,3
175,1
176,1
179,1
182,1
185,1
188,2
191,2
192,1
194,1
196,1
197,1
199,1
201,1
203,1
204,1
205,1
206,2
207,1
209,1
210,1
212,1
213,2
215,1
218,1
219,1
221,1
222,2
224,1
229,1
237,3
238,1
239,1
241,2
245,1
246,2
248,1
251,2
253,1
257,1
260,2
261,3
263,4
264,1
269,3
270,1
272,1
275,2
281,1
283,1
288,1
290,1
292,1
294,1
297,1
299,1
303,1
304,1
307,1
312,1
313,1
318,1
320,1
321,1
325,1
326,2
329,2
331,2
334,1
337,1
341,1
343,1
346,1
349,1
350,2
352,1
353,2
357,1
359,1
362,1
365,1
368,2
371,1
374,2
375,2
376,1
378,2
382,1
384,2
385,1
386,1
387,1
392,1
394,3
396,1
404,1
407,1
409,1
410,2
413,2
415,1
418,1
419,2
421,1
425,1
429,2
431,1
432,1
433,1
436,1
439,1
442,1
443,1
444,1
446,1
447,1
448,1
451,1
458,1
460,1
461,1
462,1
479,1
485,1
488,1
492,1
493,1
494,1
496,1
497,1
498,1
500,2
501,1
502,1
503,1
504,1
509,1
511,1
522,1
523,2
524,2
530,2
532,2
534,1
538,1
539,1
540,1
543,2
545,2
546,2
550,1
553,1
555,1
559,1
563,2
565,1
569,1
571,1
572,1
573,1
575,1
578,1
582,1
585,1
587,2
588,1
589,1
591,1
595,1
596,1
602,1
603,1
608,1
614,1
615,1
619,1
620,2
621,1
622,1
627,1
628,1
631,1
635,1
637,1
638,1
640,2
642,3
644,2
645,2
650,2
652,1
653,1
655,1
656,1
659,1
662,1
665,1
668,1
669,1
670,1
671,1
675,3
677,3
682,1
684,1
687,1
689,1
691,1
694,1
695,1
701,2
703,2
704,2
706,1
712,1
713,1
715,1
716,3
717,1
718,2
719,1
721,1
722,1
724,1
726,1
733,1
734,1
736,1
740,1
741,1
742,2
743,1
745,1
747,1
750,1
753,1
755,1
756,1
757,1
761,1
766,1
773,1
775,3
783,1
784,1
788,1
797,1
800,1
802,2
803,2
806,1
808,2
811,2
812,1
814,1
816,2
820,1
821,1
830,1
833,1
834,1
839,2
840,1
841,1
842,1
843,1
849,1
850,1
853,1
854,1
855,1
858,1
860,1
861,1
873,1
874,1
875,1
876,1
877,1
878,2
879,1
882,1
885,1
892,1
895,1
899,1
900,1
902,1
910,1
911,1
914,1
917,1
921,1
925,4
926,1
931,2
932,1
933,1
937,1
939,1
943,1
945,1
946,1
948,1
949,1
951,1
953,1
958,1
959,1
960,1
962,1
963,1
966,1
967,1
968,2
969,1
971,1
972,1
973,1
977,2
980,1
982,2
984,1
985,1
986,3
987,2
991,1
994,1
995,1
997,1
998,2
1000,1
