"width","V1"
6,1
8,2
9,1
17,2
19,1
23,3
31,1
32,1
34,1
39,1
41,3
44,2
50,1
55,1
56,1
58,1
59,1
61,2
64,1
65,2
68,1
76,2
82,1
85,1
86,1
91,1
95,1
96,1
102,1
103,1
104,3
113,1
115,1
116,1
118,1
121,1
125,1
126,1
127,1
128,2
131,1
133,1
134,22
137,1
140,3
143,3
146,2
148,1
152,1
154,1
158,1
164,1
172,5
176,2
183,2
186,1
188,5
191,2
200,1
203,2
209,1
212,1
213,1
217,2
222,2
225,2
227,2
230,1
232,1
237,1
242,1
249,8
251,2
255,2
258,2
260,1
261,1
262,1
266,1
267,1
269,3
272,1
275,1
276,1
287,2
293,1
296,2
300,1
305,2
311,2
314,1
323,1
328,1
329,2
335,1
341,1
342,1
344,1
346,1
354,2
355,1
356,1
359,1
362,5
365,4
371,2
377,1
380,1
383,2
385,1
395,1
396,1
397,1
399,2
410,1
412,1
413,1
418,1
438,1
443,1
445,2
453,1
454,2
461,3
462,1
466,2
470,1
477,2
482,1
487,1
488,1
492,1
498,2
503,1
508,1
509,2
510,1
511,1
514,2
521,2
524,1
529,2
533,2
535,1
538,1
539,2
540,1
545,1
546,1
548,1
550,1
564,1
576,18
578,2
580,1
582,1
585,2
588,2
593,1
596,1
599,1
601,2
602,1
607,1
613,1
614,2
619,2
628,1
629,2
632,2
641,2
653,1
657,1
665,4
668,1
679,1
682,1
685,1
686,1
688,1
692,1
699,1
713,1
716,1
720,2
721,1
733,2
737,1
740,1
742,1
743,1
750,1
755,1
758,2
761,1
763,1
773,1
781,1
783,1
784,1
800,2
803,1
805,1
819,1
823,1
829,1
830,2
833,2
837,1
840,1
841,1
856,1
865,2
869,1
876,2
896,1
899,1
902,1
910,1
942,1
946,1
961,1
969,1
972,1
974,2
976,1
983,1
988,1
992,1
994,1
996,1
998,1
