"width","V1"
8,1
11,3
21,1
24,1
30,1
31,1
32,1
38,1
41,1
49,1
65,1
68,1
76,1
87,1
88,1
89,1
91,2
93,1
101,1
104,1
119,1
120,1
132,3
146,1
152,1
165,1
169,1
178,1
186,2
192,1
200,1
202,1
203,1
219,1
226,1
244,2
253,1
268,1
275,1
279,1
296,1
298,1
311,1
312,1
313,1
335,1
336,1
343,1
348,1
355,1
360,1
364,1
392,1
404,1
406,1
407,1
413,1
415,1
417,1
418,1
428,17
429,4
430,2
435,1
449,1
453,2
455,1
459,1
469,1
476,1
482,1
504,1
508,1
511,1
512,1
514,1
520,1
536,1
540,1
545,2
558,1
562,1
564,1
565,2
566,1
570,1
573,1
592,1
594,1
598,1
601,1
609,2
615,1
620,2
623,1
660,1
662,1
692,2
697,1
699,1
706,1
710,1
714,1
717,1
722,1
739,1
745,1
747,1
749,1
753,1
756,1
757,1
767,1
775,1
790,1
792,1
795,1
810,1
818,1
824,1
831,1
832,1
852,1
863,1
866,1
874,1
875,1
879,1
891,1
903,1
905,1
928,1
934,1
942,1
944,1
960,2
962,1
975,1
982,1
986,1
989,1
990,1
999,1
1000,1
1006,1
1012,2
1013,1
1019,1
1029,1
1034,1
1038,1
1040,2
1044,1
1052,1
1062,1
1075,1
1082,3
1084,1
1094,1
1104,1
1109,9
1110,1
1114,1
1119,2
1130,1
1148,1
1151,1
1155,1
1169,1
1170,1
1171,2
1173,1
1174,1
1184,2
1187,1
1188,1
1198,1
1200,1
1202,1
1203,1
1205,1
1217,3
1218,2
1229,1
1232,1
1238,1
1242,1
1252,1
1254,2
1261,2
1262,1
1269,2
1270,1
1275,1
1277,2
1288,1
1290,1
1304,1
1313,1
1314,1
1316,1
1320,1
1327,1
1332,1
1336,2
1345,1
1349,1
1352,1
1357,1
1363,1
1368,1
1370,1
1384,1
1385,3
1387,1
1389,1
1391,1
1393,1
1397,1
1405,1
1407,1
1409,1
1422,1
1430,1
1435,1
1446,1
1451,1
1452,2
1462,1
1470,1
1489,1
1496,1
1497,2
1504,1
1532,1
1543,1
1555,1
1567,1
1571,1
1590,1
1591,1
1598,1
1601,1
1606,2
1613,1
1615,1
1616,1
1636,1
1638,1
1651,1
1691,1
1711,1
1729,1
1730,1
1736,1
1744,1
1751,1
1759,1
1760,1
1772,1
1780,1
1803,2
1823,1
1824,1
1834,1
1835,1
1839,1
1860,1
1884,1
1900,1
1933,1
1956,1
1966,1
1989,1
1995,1
2012,1
2038,1
2041,3
2042,1
2047,1
2050,1
2067,1
2073,1
2074,1
2076,1
2085,1
2089,1
2121,1
2124,1
2128,1
2153,1
2156,1
2168,1
2172,1
2177,1
2197,1
2200,1
2216,1
2217,1
2223,1
2229,2
2252,1
2260,1
2262,1
2285,1
2295,1
2300,1
2304,1
2308,1
2309,1
2321,1
2338,1
2357,1
