"width","V1"
11,1
13,1
14,3
18,1
29,1
35,1
38,1
39,2
41,1
55,1
60,1
64,1
68,1
74,1
77,1
78,1
81,1
91,1
92,1
100,2
101,2
105,1
110,1
111,1
127,1
133,1
134,1
147,2
154,1
156,1
166,1
172,1
173,1
183,1
187,1
188,1
201,1
205,1
206,1
208,1
220,1
232,1
234,1
235,1
236,1
240,1
241,1
243,1
260,1
263,1
266,1
267,1
272,1
280,2
284,1
307,1
308,1
317,1
335,1
336,1
338,2
341,1
344,1
346,1
350,2
351,1
357,1
359,1
364,1
375,1
381,1
398,1
402,1
404,1
405,1
410,1
427,1
433,1
436,1
437,1
450,2
456,1
460,1
470,1
473,1
475,1
481,1
482,1
493,2
495,1
497,1
507,1
525,1
530,1
533,1
537,1
544,1
548,1
557,1
563,1
570,1
572,1
584,1
603,1
604,1
605,1
610,1
612,1
619,1
626,2
629,1
656,1
661,1
670,1
671,1
674,1
677,1
681,2
683,1
688,1
697,1
701,1
710,1
711,1
712,1
713,1
714,1
724,1
725,1
737,1
740,3
745,1
748,1
754,2
755,1
778,1
785,1
793,1
807,2
815,1
817,1
823,2
828,1
836,1
837,1
845,1
848,1
851,1
855,1
887,1
889,2
895,2
899,1
901,1
905,1
921,2
922,1
923,1
925,1
937,2
940,1
959,1
963,1
967,1
971,1
977,1
